Country,Latitude,Longitude
ATG,17.1167,-61.7833
ATG,17.1333,-61.7833
ARE,25.3330,55.5170
ARE,25.2550,55.3640
ARE,24.4330,54.6510
ARE,24.2620,55.6090
AUS,-35.0167,138.7500
AUS,-33.6833,144.0667
AUS,-35.1167,138.8667
AFG,35.3170,69.0170
AUS,-36.3667,145.1333
AUS,-33.2167,144.0167
AFG,34.2100,62.2280
AUS,-35.0000,138.6333
AUS,-36.6837,145.5103
BRA,-22.1500,-44.0900
AUS,-34.5333,142.4167
AUS,-36.6436,145.4197
CAN,49.0667,-123.0833
AUS,-35.2000,138.9833
AFG,34.5660,69.2120
CAN,43.2000,-80.7833
AUS,-36.3989,145.3448
AUS,-32.1698,144.2007
AUS,-36.6146,145.2143
AFG,31.5000,65.8500
IND,16.5800,81.4500
CAN,43.1333,-80.7667
AUS,-35.2500,138.7667
AUS,-36.6500,145.2000
AUS,-34.3833,143.8833
AUS,-36.7833,145.1667
DZA,36.7167,3.2500
IND,16.5000,81.3300
AUS,-35.6167,138.0833
AUS,-32.5187,146.2819
MEX,16.7700,-92.9000
AUS,-36.9422,143.4711
AUS,-32.4167,145.9833
AUS,-35.6167,138.0833
IND,16.6700,81.8000
AUS,-36.2000,146.2000
MEX,16.4200,-92.4200
AUS,-35.0833,138.6167
AUS,-32.6333,145.9167
AUS,-36.5340,144.2080
CAN,49.0833,-122.9167
AUS,-36.5000,144.6000
CAN,43.6500,-80.4167
AUS,-35.4167,138.7167
AUS,-32.7167,146.3333
AUS,-36.5915,145.0162
AUS,-34.2167,144.4500
IND,16.4000,81.6200
AUS,-36.3783,145.4192
AUS,-36.4000,145.5000
MEX,16.3200,-91.9700
CAN,49.0000,-123.0833
AUS,-35.4000,138.6000
AUS,-36.4436,144.9828
IND,16.7500,81.5800
AUS,-36.7729,143.8338
MEX,16.3300,-91.7700
AUS,-34.8833,138.9667
IND,16.5800,81.8700
AUS,-35.0167,138.5667
CAN,43.9000,-80.8000
MEX,16.7700,-91.6000
AUS,-34.2431,142.9949
IND,16.6700,81.5800
MEX,16.6200,-91.6800
CAN,49.1167,-122.9167
AUS,-34.8333,139.0500
BRA,-22.2400,-44.2600
CAN,42.9833,-81.0833
IND,16.4800,81.8200
AUS,-33.9454,143.0527
MEX,17.3000,-92.3200
MEX,16.7300,-92.0300
SWE,59.6000,13.9500
AUS,-35.3667,138.8333
AUS,-33.5667,144.6667
BRA,-22.3000,-44.3100
MEX,28.8000,-107.2500
CAN,43.5833,-80.9000
CAN,49.0167,-123.1000
IND,16.6300,81.4200
AUS,-35.4833,138.3833
MEX,29.8500,-107.4800
BRA,-22.2700,-44.3900
AUS,-32.2000,144.7000
IND,16.9200,81.7000
MEX,28.5200,-108.5200
CAN,43.6333,-80.0333
CAN,49.0167,-123.1000
MEX,27.1300,-104.9300
AUS,-35.4012,138.4262
SWE,59.6000,17.6300
DZA,30.5667,2.8667
IND,15.9000,80.4700
AUS,-33.3833,144.6333
AUS,-35.0000,138.7167
MEX,29.5700,-104.4200
CAN,49.1833,-122.0667
MEX,27.7500,-107.6300
CAN,43.1833,-80.0500
AUS,-34.0000,144.6000
MEX,28.2000,-105.4300
IND,16.5500,79.6300
AUS,-32.2479,146.4856
MEX,26.0000,-107.1800
AUS,-33.7073,144.7667
AUS,-34.8269,139.0086
BRA,-22.3400,-44.5900
MEX,30.1200,-107.6300
CAN,49.2833,-121.9667
IND,16.4700,79.4300
AUS,-35.0247,138.8578
MEX,26.8200,-107.7000
AUS,-32.3333,145.7667
AUS,-34.9838,138.7179
AUS,-32.8667,145.8833
AUS,-35.2331,138.7669
MEX,27.5500,-105.4000
IND,16.0500,79.7500
CAN,49.2500,-122.8167
AUS,-34.5167,142.8833
AUS,-35.2500,138.5000
MEX,28.5300,-105.4200
CAN,43.9333,-79.8333
AUS,-34.7667,142.6167
